,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U
,ø,dize,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,ø,ø,ø,antes,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,el,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,,0,2,0,0,0,0,0,0
,ø,ø,ø,ø,ø,omne,ø,ø,2,glose,Non, Non,,0,0,0,0,0,2,0,0
,ø,ø,ø,ø,ø,cosas,ø,ø,2,glose,Non, Non,,0,0,0,0,0,2,0,0
,non,ø,non,non,que,non,no,non,2,glose,Non, Non,,3,0,3,3,2,3,3,3
,de,ø,de,de,ø,de,de,de,2,glose,Non, Non,,2,0,2,2,0,2,2,2
,ø,Et,ø,ø,Et,ø,ø,ø,2,glose,Non, Non,,0,1,0,0,1,0,0,0
,ø,ø,ø,ø,ø,de,ø,ø,2,glose,Non, Non,,0,0,0,0,0,2,0,0
,a,a,a,a,a,ø,a,a,2,glose,Non, Non,,1,1,1,1,1,0,1,1
,ø,ø,ø,ø,ellos,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,que,que,que,que,que,que,que,2,glose,Non, Non,,0,1,1,1,1,1,1,1
,ø,ø,ø,ø,Et,ø,ø,ø,2,glose,Non, Non,,0,0,0,0,1,0,0,0
,ø,ø,ø,los,ø,ø,ø,ø,2,glose,Non, Non,,0,0,0,2,0,0,0,0
,se,se,se,se,ø,ø,se,se,2,glose,Non, Non,,2,2,2,2,0,0,2,2
,ø,ø,ø,nuevas,ø,ø,ø,ø,2,glose,Non, Non,,0,0,0,2,0,0,0,0
,las,ø,las,las,ø,ø,las,ø,2,glose,Non, Non,,2,0,2,2,0,0,2,0
